1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.565036	0.000000	33.039968	0.016656	1278.0
1	-0.557489	0.000000	33.039968	0.013873	4.0
2	-0.559603	0.000000	33.039968	0.010883	4.4
3	-0.567518	0.000000	33.039968	0.008984	3.7
4	-0.525635	0.000000	33.039968	0.009041	4.5
5	-0.564498	0.000000	33.039968	0.009103	4.1
6	-0.591816	0.000000	33.039968	0.010959	4.4
7	-0.509026	0.000000	33.039968	0.007623	3.6
8	-0.543720	0.000000	33.039968	0.008972	4.1
9	-0.621145	0.000000	33.039968	0.007788	4.6
10	-0.590651	0.000000	33.039968	0.008047	3.7
11	-0.573701	0.000000	33.039968	0.012836	3.7
12	-0.567746	0.000000	33.039968	0.010049	4.9
13	-0.568373	0.000000	33.039968	0.008421	4.2
14	-0.570538	0.000000	33.039968	0.007562	3.7
15	-0.581686	0.999411	31.538996	0.007520	4.3
16	-0.621591	0.885366	31.703346	0.008051	3.9
17	-0.587688	0.724932	31.937468	0.006155	4.3
18	-0.584879	0.564843	32.174560	0.006817	4.5
19	-0.583481	0.404409	32.415720	0.009195	4.1
20	-0.568622	1.404409	30.968875	0.007044	3.6
21	-0.606305	2.404409	29.645668	0.007558	3.5
22	-0.588351	2.247269	29.846058	0.009621	3.6
23	-0.583543	3.247269	28.615154	0.007436	4.9
24	-0.534670	4.246756	27.482316	0.006708	3.5
25	-0.559661	5.246756	26.435242	0.004075	4.2
26	-0.603789	5.086397	26.597745	0.012301	3.8
27	-0.616514	4.926261	26.762028	0.005685	4.4
28	-0.621391	4.765828	26.928665	0.007273	4.3
29	-0.582411	4.605396	27.097387	0.005309	3.6
30	-0.567254	4.444963	27.268240	0.008781	3.9
31	-0.580315	5.444963	26.237108	0.006166	4.8
32	-0.586426	6.444962	25.281118	0.006793	5.0
33	-0.568403	6.296149	25.418946	0.006408	5.6
34	-0.580203	7.295920	24.520826	0.006107	4.7
35	-0.597588	8.275505	23.700337	0.005512	4.2
36	-0.557983	9.234334	22.948723	0.006938	3.9
37	-0.580581	10.234091	22.214168	0.008001	4.1
38	-0.563233	11.234091	21.525016	0.007615	4.5
39	-0.594509	11.073658	21.632685	0.007187	5.3
40	-0.580640	10.913224	21.741437	0.008265	3.9
41	-0.535812	10.752790	21.851287	0.009624	4.4
42	-0.537455	11.752790	21.184129	0.006321	3.9
43	-0.564138	11.592356	21.288407	0.004207	3.9
44	-0.608564	11.431931	21.393710	0.005903	3.6
45	-0.599466	11.271504	21.500062	0.007175	4.0
46	-0.603648	12.271502	20.853862	0.006296	5.8
47	-0.595682	13.271502	20.245373	0.005924	3.5
48	-0.616544	14.271502	19.671386	0.005221	3.7
49	-0.539720	14.111069	19.761271	0.004916	5.0
50	-0.604390	13.950636	19.851981	0.006645	4.7
51	-0.588094	13.790202	19.943527	0.004370	3.7
52	-0.569425	13.655743	20.020905	0.006791	4.6
53	-0.614438	13.496762	20.113173	0.008602	4.3
54	-0.602978	13.336329	20.207150	0.005041	3.9
55	-0.585325	14.313928	19.647753	0.006270	4.4
56	-0.578171	14.153523	19.737405	0.006006	4.4
57	-0.539494	13.993094	19.827893	0.010312	3.9
58	-0.610514	14.993086	19.277017	0.006558	4.6
59	-0.586585	14.832653	19.363326	0.004541	4.1
60	-0.551786	15.832653	18.837615	0.004674	3.7
61	-0.610835	15.768704	18.870378	0.006200	3.5
62	-0.625477	15.633362	18.940095	0.005413	4.5
63	-0.585729	15.472928	19.023406	0.005553	3.8
64	-0.615924	16.472912	18.515757	0.006591	4.9
65	-0.603463	17.388841	18.073985	0.006636	5.1
66	-0.542364	17.228408	18.149836	0.005710	3.5
67	-0.564548	18.228408	17.687165	0.010096	3.6
68	-0.580415	18.067974	17.759798	0.006934	4.8
69	-0.597902	17.907540	17.833030	0.007688	3.6
70	-0.561517	17.747107	17.906868	0.005750	3.9
71	-0.528720	17.586673	17.981320	0.004384	3.9
72	-0.562380	18.586235	17.527288	0.004759	4.0
73	-0.567509	18.426352	17.598365	0.004770	3.8
74	-0.602247	18.270044	17.668412	0.003977	5.2
75	-0.593573	18.109977	17.740725	0.006732	5.6
76	-0.555625	17.949556	17.813793	0.004390	6.2
77	-0.584756	17.789124	17.887471	0.005652	4.4
78	-0.580073	18.699183	17.477421	0.004707	4.1
79	-0.574809	18.539353	17.548070	0.006285	4.2
80	-0.539526	18.378923	17.619561	0.004924	4.5
81	-0.578594	18.218490	17.691638	0.008296	4.1
82	-0.597950	18.058056	17.764308	0.006395	3.8
83	-0.598058	17.897625	17.837576	0.004324	5.0
84	-0.622031	18.897610	17.390499	0.005813	4.1
85	-0.582500	18.737177	17.460711	0.004834	4.0
86	-0.577426	19.711099	17.043002	0.004183	4.5
87	-0.570928	19.602049	17.088777	0.006397	3.6
88	-0.614824	19.441615	17.156568	0.007027	3.1
89	-0.558001	19.281181	17.224900	0.005730	4.3
90	-0.612684	19.120887	17.293719	0.006063	4.0
91	-0.585124	20.120887	16.873161	0.005455	4.6
92	-0.583968	19.960453	16.939250	0.005749	4.1
93	-0.586649	19.802084	17.004997	0.005398	3.7
94	-0.564641	20.802084	16.598200	0.005675	3.5
95	-0.590199	20.643368	16.661460	0.004009	3.2
96	-0.589000	20.504490	16.717212	0.006166	5.1
97	-0.581965	20.751193	16.618431	0.004987	4.7
98	-0.610071	20.590759	16.682536	0.007918	4.0
99	-0.600156	21.576733	16.296209	0.005332	4.7
100	-0.564012	22.576717	15.922249	0.008252	4.3
101	-0.542852	22.702347	15.876478	0.004582	3.9
102	-0.614665	23.702347	15.521318	0.007726	4.6
103	-0.579196	23.548958	15.574760	0.007225	3.5
104	-0.549990	23.388539	15.631047	0.005530	3.7
105	-0.585592	24.388525	15.286669	0.004896	4.1
106	-0.577641	24.607489	15.213276	0.007095	3.6
107	-0.589459	24.447057	15.266981	0.003356	4.8
108	-0.571435	24.286632	15.321063	0.004587	5.5
109	-0.556004	25.073446	15.059419	0.012198	4.6
110	-0.566111	24.913012	15.112041	0.006198	4.3
111	-0.620605	24.752578	15.165033	0.005493	7.2
112	-0.585891	25.752578	14.840665	0.004896	3.8
113	-0.617621	25.592146	14.891766	0.005722	4.3
