1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.022461	627.201626	0.000196	600.6
1	-0.001659	623.504937	0.000403	10.1
2	0.000000	619.865785	0.000000	8.6
3	-0.000050	616.282728	0.000005	9.5
4	0.000000	612.754375	0.000000	12.3
5	-0.376098	609.279381	0.001026	9.1
6	-0.375722	605.856447	0.001214	10.6
7	0.000000	602.484317	0.000000	9.5
8	-0.022275	599.161779	0.000164	9.1
9	-0.358511	595.887656	0.001138	12.7
10	0.000000	592.660813	0.000000	9.0
11	0.000000	589.480151	0.000000	17.5
12	-0.416856	586.344606	0.001353	7.9
13	0.000000	583.253145	0.000000	9.3
14	0.000000	580.204771	0.000000	10.3
15	-0.386572	577.198517	0.001143	9.1
16	-0.371176	574.233444	0.001173	13.2
17	-0.356497	571.308645	0.000797	9.3
18	-0.358534	568.423237	0.001346	8.9
19	0.000000	565.576365	0.000000	9.8
20	0.000000	562.767201	0.000000	11.4
21	0.000000	559.994938	0.000000	9.1
22	-0.363895	557.258797	0.000739	10.2
23	0.000000	554.558018	0.000000	12.8
24	-0.000000	551.891865	0.000000	9.4
25	-0.168691	549.259621	0.000678	9.8
26	-0.000000	546.660592	0.000000	8.8
27	-0.381016	544.094102	0.000967	10.8
28	-0.000011	541.559494	0.000016	10.0
29	-0.320687	539.056129	0.000812	10.5
30	-0.354572	536.583387	0.000869	10.1
31	-0.194471	534.140663	0.001614	9.0
32	-0.341619	531.727370	0.001319	8.5
33	-0.241453	529.342935	0.001297	7.4
34	-0.055733	526.986802	0.000449	10.7
35	-0.319671	524.658430	0.001431	8.9
36	0.000000	522.357290	0.000000	16.0
37	-0.387557	520.082868	0.001259	11.3
38	-0.265452	517.834665	0.001178	10.3
39	-0.382765	515.612193	0.001100	8.4
40	-0.000983	513.414976	0.000320	9.0
41	-0.415622	511.242551	0.001123	9.3
42	-0.435174	509.094468	0.000929	8.9
43	0.000000	506.970285	0.000000	10.1
44	-0.431343	504.869574	0.001178	8.8
45	-0.024176	502.791916	0.000256	8.7
46	0.000000	500.736903	0.000000	11.4
47	0.000000	498.704137	0.000000	8.5
48	-0.401225	496.693228	0.001202	9.7
49	-0.305198	494.703798	0.000953	9.1
50	0.000000	492.735476	0.000000	9.1
51	-0.202767	490.787900	0.000859	8.9
52	-0.409312	488.860718	0.001037	8.6
53	0.000000	486.953585	0.000000	11.3
54	-0.359134	485.066164	0.000950	9.3
55	-0.000000	483.198126	0.000000	10.0
56	-0.417823	481.349149	0.001434	11.3
57	-0.360154	479.518920	0.001289	9.8
58	-0.201417	477.707132	0.000975	9.6
59	0.000000	475.913485	0.000000	11.4
60	-0.443587	474.137684	0.001276	10.5
61	-0.111041	472.379445	0.000706	8.1
62	-0.402256	470.638485	0.001014	10.3
63	-0.000866	468.914531	0.000119	12.6
64	-0.000000	467.207315	0.000000	8.8
65	-0.448142	465.516573	0.000997	9.3
66	0.000000	463.842050	0.000000	10.4
67	-0.071051	462.183494	0.000282	10.3
68	-0.312874	460.540658	0.001203	11.0
69	0.000000	458.913303	0.000000	9.4
70	-0.236245	457.301192	0.000911	11.1
71	0.000000	455.704096	0.000000	9.5
72	0.000000	454.121787	0.000000	9.5
73	-0.425279	452.554045	0.001085	11.0
74	-0.299738	451.000653	0.001584	9.7
75	-0.000000	449.461399	0.000000	8.8
76	0.000000	447.936075	0.000000	10.5
77	-0.000000	446.424477	0.000000	10.1
78	0.000000	444.926406	0.000000	9.9
79	-0.009076	443.441666	0.000139	9.5
80	-0.416622	441.970065	0.001120	9.8
81	-0.351716	440.511415	0.001169	9.7
82	0.000000	439.065533	0.000000	9.8
83	-0.315299	437.632238	0.000878	9.0
84	-0.027291	436.211351	0.000303	9.4
85	-0.085034	434.802701	0.000857	10.5
86	0.000000	433.406117	0.000000	9.1
87	0.000000	432.021430	0.000000	9.7
88	-0.003801	430.648479	0.000114	10.6
89	0.000000	429.287101	0.000000	8.9
90	-0.403424	427.937140	0.001128	9.9
91	-0.312174	426.598440	0.001258	10.7
