1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-1.211178	627.201626	0.011765	598.4
1	-0.962269	623.504937	0.010447	9.2
2	-0.925898	619.865785	0.009516	11.6
3	-0.727857	616.282728	0.009015	9.0
4	-0.039125	612.754375	0.000660	8.9
5	-0.740265	609.279381	0.010705	8.8
6	-0.726781	605.856447	0.010214	9.3
7	-0.020780	602.484317	0.000514	8.6
8	-0.391516	599.161779	0.003309	12.9
9	-0.680830	595.887656	0.012450	8.4
10	-0.484523	592.660813	0.005141	9.9
11	-0.842190	589.480151	0.014881	9.1
12	-1.250620	586.344606	0.010748	8.3
13	-0.033885	583.253145	0.003761	8.3
14	-0.643598	580.204771	0.005476	8.9
15	-1.179547	577.198517	0.013914	8.9
16	-0.741319	574.233444	0.014793	8.2
17	-1.109112	571.308645	0.013950	8.8
18	-1.162362	568.423237	0.013266	9.5
19	-0.724409	565.576365	0.009522	10.3
20	0.000000	562.767201	0.000000	8.7
21	-0.797642	559.994938	0.006421	9.7
22	-1.007610	557.258797	0.016653	8.8
23	-0.063771	554.558018	0.003650	9.3
24	-1.179196	551.891865	0.016510	9.2
25	-0.739661	549.259621	0.012722	8.2
26	-0.800749	546.660592	0.009250	8.2
27	-0.916605	544.094102	0.012000	12.6
28	-0.388489	541.559494	0.007864	8.7
29	-1.190804	539.056129	0.012469	8.7
30	-0.312989	536.583387	0.004422	10.2
31	-1.125567	534.140663	0.010026	8.1
32	-0.068960	531.727370	0.001894	7.7
33	-0.948164	529.342935	0.008398	8.7
34	-0.915192	526.986802	0.008566	9.1
35	-0.020694	524.658430	0.003206	8.3
36	-0.336602	522.357290	0.002005	8.3
37	-0.197514	520.082868	0.004435	8.6
38	-0.422591	517.834665	0.007222	9.1
39	-1.193965	515.612193	0.008545	8.6
40	-1.151576	513.414976	0.010505	8.9
41	-0.318166	511.242551	0.005138	8.5
42	-1.190517	509.094468	0.015710	9.3
43	-0.876274	506.970285	0.012670	8.1
44	-0.013094	504.869574	0.000806	8.8
45	-0.758594	502.791916	0.009288	9.3
46	-0.599737	500.736903	0.005664	9.2
47	-1.129239	498.704137	0.011134	8.2
48	-0.163194	496.693228	0.004496	9.4
49	-0.232725	494.703798	0.003807	8.1
50	-0.461810	492.735476	0.004106	9.0
51	0.000000	490.787900	0.000000	8.3
52	-0.792068	488.860718	0.008882	9.2
53	-1.125970	486.953585	0.007653	9.5
54	-0.945054	485.066164	0.010563	10.3
55	-0.713423	483.198126	0.005182	8.7
56	-0.175040	481.349149	0.002619	8.6
57	-0.595467	479.518920	0.009964	11.3
58	-0.786312	477.707132	0.007967	8.0
59	-1.244147	475.913485	0.012496	8.0
60	-0.642049	474.137684	0.006204	13.1
61	-0.798508	472.379445	0.008951	7.8
62	-0.001022	470.638485	0.000212	9.1
63	-0.125184	468.914531	0.007471	9.1
64	-1.081524	467.207315	0.007838	9.1
65	-0.868247	465.516573	0.006523	8.2
66	-0.145518	463.842050	0.001604	9.2
67	-1.023533	462.183494	0.014550	9.0
68	-1.170924	460.540658	0.007500	11.3
69	-0.315218	458.913303	0.005939	8.9
70	-0.280160	457.301192	0.005968	8.6
71	-1.066079	455.704096	0.008835	8.5
72	-0.212358	454.121787	0.004781	8.4
73	-1.183621	452.554045	0.009394	8.5
74	-0.755830	451.000653	0.012197	9.1
75	-0.969062	449.461399	0.012974	8.6
76	-0.209248	447.936075	0.005524	8.8
77	-0.908019	446.424477	0.005639	8.8
78	-0.537935	444.926406	0.005086	8.6
79	-0.876357	443.441666	0.011272	8.8
80	-1.042924	441.970065	0.008342	8.6
81	-1.275966	440.511415	0.010710	9.7
82	-0.821541	439.065533	0.010397	9.0
83	-0.919414	437.632238	0.017123	8.8
84	-0.259528	436.211351	0.004825	8.2
85	-0.650928	434.802701	0.008906	8.8
86	-0.170509	433.406117	0.002860	9.2
87	-0.004788	432.021430	0.000603	8.5
88	-0.000230	430.648479	0.000171	8.2
89	-0.472050	429.287101	0.006190	9.0
90	-0.447941	427.937140	0.007011	9.3
91	-0.081433	426.598440	0.001173	8.9
92	-0.666655	425.270849	0.009128	10.8
93	-0.148259	423.954220	0.003713	8.9
94	-1.227435	422.648404	0.013028	9.2
95	-0.108954	421.353259	0.001615	9.5
96	0.000000	420.068643	0.000000	7.7
97	-0.154345	418.794419	0.002709	8.0
98	-0.895292	417.530451	0.008539	8.3
99	-0.001068	416.276604	0.000103	8.5
100	-1.254980	415.032748	0.017577	8.9
101	-1.014253	413.798754	0.012768	9.4
102	-0.003061	412.574495	0.000714	8.8
103	-0.855588	411.359849	0.010751	9.4
