1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.553752	627.201626	0.004230	630.7
1	-1.128068	623.504937	0.015463	10.9
2	-0.847298	619.865785	0.009570	9.7
3	-0.130760	616.282728	0.002375	9.9
4	-0.883943	612.754375	0.007225	8.7
5	-1.246281	609.279381	0.014206	8.1
6	-1.468931	605.856447	0.015998	8.8
7	-0.241075	602.484317	0.002913	13.5
8	-1.679171	599.161779	0.011196	8.6
9	-0.068574	595.887656	0.001288	8.2
10	-1.076055	592.660813	0.010517	9.8
11	-1.040883	589.480151	0.008391	11.3
12	-1.390888	586.344606	0.009764	7.1
13	-1.521517	583.253145	0.030499	8.5
14	-1.408837	580.204771	0.010980	8.2
15	-1.280832	577.198517	0.024456	12.0
16	-1.663225	574.233444	0.021365	10.0
17	-1.381896	571.308645	0.005646	9.1
18	-0.594348	568.423237	0.019666	8.4
19	-0.389694	565.576365	0.003642	9.0
20	-1.705121	562.767201	0.015401	9.0
21	-1.024912	559.994938	0.018182	9.0
22	-1.529456	557.258797	0.024603	8.0
23	-0.323905	554.558018	0.004423	8.2
24	-0.943700	551.891865	0.011235	13.8
25	-0.517491	549.259621	0.007566	9.6
26	-1.493604	546.660592	0.016293	14.0
27	-1.867088	544.094102	0.034034	8.5
28	-0.000000	541.559494	0.000000	9.1
29	-0.000008	539.056129	0.000002	8.2
30	-1.537789	536.583387	0.026127	8.9
31	-1.491231	534.140663	0.026581	7.9
32	-1.184333	531.727370	0.023720	9.6
33	-0.313991	529.342935	0.006491	8.4
34	-0.610272	526.986802	0.004180	9.2
35	-1.136972	524.658430	0.023879	8.5
36	-0.287588	522.357290	0.004133	8.3
37	-1.449152	520.082868	0.025174	11.6
38	-1.205613	517.834665	0.014464	7.3
39	-0.334064	515.612193	0.004364	9.2
40	-0.993055	513.414976	0.016134	8.9
41	-0.482347	511.242551	0.005015	9.1
42	-1.513431	509.094468	0.022951	10.0
43	-0.897224	506.970285	0.009911	8.0
44	-0.965579	504.869574	0.009391	8.5
45	-0.470079	502.791916	0.008423	8.8
46	-1.428619	500.736903	0.022428	8.5
47	-0.311605	498.704137	0.002104	8.6
48	-0.000003	496.693228	0.000001	8.7
49	-0.781041	494.703798	0.018270	8.8
50	-0.994251	492.735476	0.010986	8.5
51	-0.000000	490.787900	0.000000	9.8
52	-1.049904	488.860718	0.013400	9.1
53	-0.927618	486.953585	0.009502	8.8
54	-1.657462	485.066164	0.026112	7.0
55	-1.303235	483.198126	0.016803	11.4
56	-1.581231	481.349149	0.018592	13.2
57	-0.793018	479.518920	0.004028	13.4
58	-1.201494	477.707132	0.007262	13.3
59	-1.059532	475.913485	0.013815	9.8
60	-0.003062	474.137684	0.000366	8.9
61	-0.926930	472.379445	0.011887	8.5
62	-1.257391	470.638485	0.005471	10.2
63	-1.353367	468.914531	0.012883	9.4
64	-1.730789	467.207315	0.011019	8.3
65	-0.000257	465.516573	0.000048	8.2
66	-1.418163	463.842050	0.012560	8.4
67	-1.378970	462.183494	0.010769	9.1
68	-1.486128	460.540658	0.010250	8.3
69	-1.420730	458.913303	0.024090	9.1
70	-1.393014	457.301192	0.010965	8.9
71	-1.314068	455.704096	0.014171	8.2
72	-1.327445	454.121787	0.019070	8.8
73	-1.721334	452.554045	0.015787	9.3
74	-0.158731	451.000653	0.002846	9.6
75	-0.807059	449.461399	0.034248	8.3
76	-0.734509	447.936075	0.005816	7.9
77	-1.325636	446.424477	0.015102	10.9
78	-0.347694	444.926406	0.008208	8.2
79	-1.422357	443.441666	0.015969	9.4
80	-0.214147	441.970065	0.004921	7.2
81	-0.000005	440.511415	0.000001	8.4
82	-1.854475	439.065533	0.026553	7.5
83	-1.251689	437.632238	0.023940	9.7
84	-1.050931	436.211351	0.018941	11.0
85	-0.655996	434.802701	0.008744	8.4
86	-0.651498	433.406117	0.006955	8.4
87	-0.220098	432.021430	0.001863	11.2
88	-1.888374	430.648479	0.027958	12.3
89	-0.001967	429.287101	0.000141	7.9
90	-0.765514	427.937140	0.009763	8.8
