1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.501678	0.000000	39.293809	0.007779	1323.4
1	-0.510646	0.000000	39.293809	0.004848	4.8
2	-0.488629	0.000000	39.293809	0.006426	3.2
3	-0.514879	0.000000	39.293809	0.006146	4.7
4	-0.517592	0.990961	37.523145	0.010841	3.8
5	-0.534139	1.989490	35.893358	0.009807	4.2
6	-0.478043	2.989490	34.397147	0.005817	4.4
7	-0.533088	3.929883	33.099634	0.007848	3.7
8	-0.495858	4.929883	31.823129	0.008068	4.8
9	-0.548056	4.927591	31.825942	0.009509	4.5
10	-0.515796	5.927590	30.644034	0.007372	3.7
11	-0.528927	6.924925	29.549587	0.009985	4.9
12	-0.510925	6.368553	30.150297	0.005921	4.0
13	-0.508538	7.368552	29.087491	0.007753	4.6
14	-0.525459	6.787959	29.695236	0.005699	4.7
15	-0.531065	6.240854	30.291634	0.008724	4.0
16	-0.511978	7.189826	29.271908	0.013331	5.3
17	-0.503944	8.189826	28.269096	0.004848	5.1
18	-0.540659	7.745047	28.706510	0.007970	4.0
19	-0.512867	8.744627	27.741817	0.013000	4.8
20	-0.507629	8.164034	28.294097	0.011977	3.9
21	-0.469403	9.164034	27.356089	0.008895	5.1
22	-0.534399	10.164034	26.478279	0.006777	3.8
23	-0.531617	11.164034	25.655053	0.012124	4.0
24	-0.510205	12.164034	24.881472	0.007273	4.9
25	-0.531010	11.602038	25.310381	0.006228	4.0
26	-0.524601	11.279549	25.563244	0.008069	5.0
27	-0.513061	12.279549	24.795108	0.005224	3.7
28	-0.522655	13.249703	24.092763	0.007041	5.3
29	-0.482900	12.670288	24.507364	0.007904	4.0
30	-0.530402	12.118527	24.915661	0.005470	3.8
31	-0.495586	13.118527	24.185393	0.006106	5.0
32	-0.491333	12.538527	24.603644	0.004732	5.2
33	-0.517653	11.958187	25.036875	0.007820	4.2
34	-0.500041	12.954151	24.302478	0.006431	4.7
35	-0.506677	13.954138	23.607219	0.009479	4.4
36	-0.510949	14.950079	22.953218	0.010201	3.6
