1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.003121	627.201626	0.000648	623.6
1	-1.314916	623.504937	0.019524	10.5
2	-0.000624	619.865785	0.000099	10.2
3	-0.858856	616.282728	0.007725	9.2
4	-0.000000	612.754375	0.000000	9.4
5	-0.275487	609.279381	0.008923	8.4
6	-1.482903	605.856447	0.014091	8.9
7	-0.146191	602.484317	0.002048	11.8
8	-0.578497	599.161779	0.006650	8.3
9	-0.000000	595.887656	0.000000	9.1
10	-0.918440	592.660813	0.011237	10.5
11	-0.554319	589.480151	0.008256	10.6
12	-0.413154	586.344606	0.005709	8.4
13	-1.081135	583.253145	0.021632	10.7
14	-0.021239	580.204771	0.000954	8.9
15	-0.000000	577.198517	0.000000	10.1
16	-1.260470	574.233444	0.026693	9.4
17	-1.035539	571.308645	0.016222	9.5
18	-0.327878	568.423237	0.005894	8.1
19	-1.250043	565.576365	0.015521	8.5
20	-0.000000	562.767201	0.000000	11.2
21	-0.000000	559.994938	0.000000	8.8
22	-1.532386	557.258797	0.018608	11.0
23	-0.349914	554.558018	0.008486	9.0
24	-0.096707	551.891865	0.002394	8.4
25	-1.201594	549.259621	0.016586	8.2
26	-0.000000	546.660592	0.000000	8.6
27	-0.365070	544.094102	0.007015	13.0
28	-0.769432	541.559494	0.007659	8.9
29	-0.033681	539.056129	0.001336	7.2
30	-0.673854	536.583387	0.014045	8.5
31	-1.597055	534.140663	0.018288	9.0
32	-1.370699	531.727370	0.018181	8.5
33	-1.542659	529.342935	0.031638	9.4
34	-0.659806	526.986802	0.010012	8.7
35	-0.366089	524.658430	0.005899	8.9
36	-0.752481	522.357290	0.017722	10.5
37	-0.968799	520.082868	0.019496	9.9
38	-0.016242	517.834665	0.000937	9.6
39	-0.000000	515.612193	0.000000	12.5
40	-0.894039	513.414976	0.011207	10.0
41	-0.529224	511.242551	0.005498	11.2
42	-1.094843	509.094468	0.022786	9.4
43	-0.829480	506.970285	0.008936	10.3
44	-0.991140	504.869574	0.016571	10.0
45	-0.109821	502.791916	0.001748	8.6
46	-0.000000	500.736903	0.000000	9.1
47	-1.120982	498.704137	0.013164	9.8
