1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.215352	627.201626	0.004330	672.1
1	-0.142472	623.504937	0.003999	15.2
2	-0.000000	619.865785	0.000000	16.2
3	-0.377592	616.282728	0.002756	12.1
4	-0.139046	612.754375	0.002431	13.2
5	-0.000018	609.279381	0.000030	13.2
6	-0.000000	605.856447	0.000000	12.0
7	-0.000000	602.484317	0.000000	13.1
8	-0.000000	599.161779	0.000000	12.5
9	-0.294180	595.887656	0.002855	11.9
10	-0.741942	592.660813	0.004713	13.5
11	-0.000000	589.480151	0.000000	13.4
12	-0.000000	586.344606	0.000000	11.6
13	-0.000000	583.253145	0.000000	12.9
14	-0.579693	580.204771	0.004183	13.0
15	-0.013084	577.198517	0.000283	12.0
16	-0.062017	574.233444	0.002959	13.6
17	-0.761045	571.308645	0.004394	14.7
18	-0.000000	568.423237	0.000000	11.4
19	-0.000000	565.576365	0.000000	13.8
20	-0.000000	562.767201	0.000000	12.5
21	-0.860925	559.994938	0.005568	11.9
22	-0.496213	557.258797	0.003285	15.9
23	-0.998202	554.558018	0.006425	15.5
24	-0.230510	551.891865	0.001926	13.2
25	-0.768206	549.259621	0.003758	12.1
26	-0.914424	546.660592	0.004582	21.2
27	-0.000000	544.094102	0.000000	11.5
28	-0.684804	541.559494	0.005187	13.4
29	-0.061702	539.056129	0.002142	12.1
30	-0.000000	536.583387	0.000000	12.9
31	-0.952171	534.140663	0.004457	13.1
32	-0.000000	531.727370	0.000000	11.8
33	-0.000000	529.342935	0.000000	12.4
34	-0.973166	526.986802	0.005406	14.8
35	-0.000000	524.658430	0.000000	12.1
36	-0.420360	522.357290	0.003094	12.5
37	-0.000000	520.082868	0.000000	12.1
38	-0.548240	517.834665	0.002784	14.2
39	-0.990862	515.612193	0.004058	15.3
40	-0.505173	513.414976	0.002928	12.5
41	-1.019702	511.242551	0.006091	11.4
42	-0.751580	509.094468	0.005074	12.7
43	-0.000000	506.970285	0.000000	12.3
44	-0.498796	504.869574	0.003636	12.9
45	-0.784083	502.791916	0.004544	13.3
46	-0.004299	500.736903	0.000005	11.9
47	-0.000000	498.704137	0.000000	13.1
48	-1.016650	496.693228	0.007545	11.7
49	-0.377923	494.703798	0.003709	13.0
50	-0.000000	492.735476	0.000000	12.0
51	-0.229074	490.787900	0.002162	12.3
52	-0.000000	488.860718	0.000000	13.4
53	-0.974181	486.953585	0.005292	12.5
54	-0.868421	485.066164	0.004136	13.0
55	-0.000000	483.198126	0.000000	11.5
56	-0.000000	481.349149	0.000000	12.0
57	-0.063742	479.518920	0.001789	13.7
58	-0.000000	477.707132	0.000000	12.3
59	-0.729903	475.913485	0.005920	12.6
60	-0.000000	474.137684	0.000000	12.7
61	-0.000000	472.379445	0.000000	13.5
62	-0.836228	470.638485	0.004832	12.3
63	-0.000000	468.914531	0.000000	12.9
64	-0.933583	467.207315	0.004538	12.5
65	-0.644349	465.516573	0.004815	13.3
66	-0.531788	463.842050	0.002997	12.5
