1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.000168	627.201626	0.000056	612.0
1	-1.333400	623.504937	0.021395	9.1
2	-0.000000	619.865785	0.000000	10.1
3	-0.759291	616.282728	0.011844	9.2
4	-0.000000	612.754375	0.000000	8.5
5	-0.222879	609.279381	0.007471	8.6
6	-1.529853	605.856447	0.017087	9.3
7	-0.350813	602.484317	0.003485	8.7
8	-0.235290	599.161779	0.006680	9.4
9	-0.000000	595.887656	0.000000	21.7
10	-0.939879	592.660813	0.013850	8.7
11	-0.400935	589.480151	0.011070	9.0
12	-0.547549	586.344606	0.012800	8.5
13	-1.027894	583.253145	0.016393	9.3
14	-0.023715	580.204771	0.000831	8.9
15	-0.000000	577.198517	0.000000	10.1
16	-1.423358	574.233444	0.017775	8.5
17	-0.928430	571.308645	0.006132	8.3
18	-0.066696	568.423237	0.001757	8.9
19	-1.102509	565.576365	0.012074	8.3
20	-0.000000	562.767201	0.000000	8.7
21	-0.006077	559.994938	0.000244	9.2
22	-1.554550	557.258797	0.013623	8.7
23	-0.593759	554.558018	0.012378	9.3
24	-0.124280	551.891865	0.002135	9.3
25	-1.052559	549.259621	0.032829	13.7
26	-0.000000	546.660592	0.000000	12.4
27	-0.258983	544.094102	0.010871	9.0
28	-0.582790	541.559494	0.007477	12.2
29	-0.000000	539.056129	0.000000	8.0
30	-0.976797	536.583387	0.014768	10.0
31	-1.423328	534.140663	0.014989	9.4
32	-1.366021	531.727370	0.023368	8.9
33	-1.404367	529.342935	0.023105	9.0
34	-0.317183	526.986802	0.004227	9.5
35	-0.126086	524.658430	0.003474	9.4
36	-0.645661	522.357290	0.024690	9.9
37	-0.891740	520.082868	0.027315	9.1
38	-0.000801	517.834665	0.000233	9.3
39	-0.000000	515.612193	0.000000	8.3
40	-0.626966	513.414976	0.009954	14.2
41	-0.218231	511.242551	0.001301	10.4
42	-0.899943	509.094468	0.014079	9.7
43	-1.007591	506.970285	0.019409	10.8
44	-0.687046	504.869574	0.009123	11.9
45	-0.269025	502.791916	0.004481	11.2
