1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-1.179871	627.201626	0.009190	639.1
1	-0.487918	623.504937	0.006094	9.4
2	-1.268782	619.865785	0.011832	10.8
3	-0.996483	616.282728	0.010405	12.3
4	-0.000000	612.754375	0.000000	9.3
5	-0.199508	609.279381	0.002769	9.6
6	-1.199755	605.856447	0.012352	9.7
7	-0.000000	602.484317	0.000000	8.2
8	-0.011219	599.161779	0.000141	9.3
9	-0.724747	595.887656	0.009429	13.2
10	-0.156253	592.660813	0.004111	10.2
11	-1.150927	589.480151	0.009101	8.7
12	-1.155873	586.344606	0.012567	14.1
13	-0.000000	583.253145	0.000000	14.2
14	-0.010679	580.204771	0.001786	13.7
15	-0.985120	577.198517	0.012575	11.1
16	-1.050466	574.233444	0.015308	13.7
17	-1.235480	571.308645	0.009918	12.1
18	-1.188854	568.423237	0.008934	11.3
19	-0.847547	565.576365	0.017619	14.8
20	-0.000000	562.767201	0.000000	18.4
21	-0.602793	559.994938	0.008587	10.7
22	-1.245243	557.258797	0.013869	13.4
23	-0.000000	554.558018	0.000000	15.1
24	-1.239485	551.891865	0.009086	10.5
25	-0.990949	549.259621	0.013852	14.1
26	-0.952410	546.660592	0.009584	14.2
27	-1.088568	544.094102	0.017104	10.3
28	-0.036187	541.559494	0.001418	14.3
29	-0.841173	539.056129	0.009320	14.5
30	-0.000000	536.583387	0.000000	11.4
31	-0.874660	534.140663	0.007169	12.1
32	-0.000000	531.727370	0.000000	9.0
33	-0.647663	529.342935	0.010639	8.9
34	-0.465621	526.986802	0.009778	18.3
35	-0.000000	524.658430	0.000000	14.0
36	-0.110865	522.357290	0.001245	11.0
37	-0.000495	520.082868	0.000262	16.2
38	-0.050123	517.834665	0.002184	15.1
39	-0.998078	515.612193	0.008930	10.1
40	-0.949156	513.414976	0.006916	10.8
41	-0.009679	511.242551	0.000328	11.1
42	-1.294595	509.094468	0.015166	8.5
43	-1.090013	506.970285	0.010714	8.4
44	-0.000000	504.869574	0.000000	14.6
45	-0.128133	502.791916	0.004751	8.1
46	-0.056429	500.736903	0.002130	9.4
