1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.042871	627.201626	0.002051	627.3
1	-1.448575	623.504937	0.036039	10.1
2	-0.000002	619.865785	0.000001	11.8
3	-1.033370	616.282728	0.012320	13.7
4	-0.000009	612.754375	0.000005	14.7
5	-0.211285	609.279381	0.011680	11.9
6	-1.596402	605.856447	0.021837	9.2
7	-0.396634	602.484317	0.004744	8.6
8	-0.654985	599.161779	0.006497	8.7
9	-0.000000	595.887656	0.000000	9.8
10	-1.223489	592.660813	0.020138	7.9
11	-0.515466	589.480151	0.006584	18.8
12	-0.798028	586.344606	0.018967	8.6
13	-0.960214	583.253145	0.030949	8.3
14	-0.177628	580.204771	0.003548	11.8
15	-0.000000	577.198517	0.000000	8.8
16	-1.343620	574.233444	0.035138	11.1
17	-1.100749	571.308645	0.018196	9.5
18	-0.363613	568.423237	0.007230	14.7
19	-1.286259	565.576365	0.021667	8.9
20	-0.000000	562.767201	0.000000	12.1
21	-0.016433	559.994938	0.002784	9.2
22	-1.505545	557.258797	0.041465	8.0
23	-0.776391	554.558018	0.016740	7.9
24	-0.431991	551.891865	0.008797	9.6
25	-1.167349	549.259621	0.038023	8.1
26	-0.000000	546.660592	0.000000	8.7
27	-0.480796	544.094102	0.014820	10.1
28	-0.784240	541.559494	0.011207	8.4
29	-0.072327	539.056129	0.002773	9.1
30	-0.998879	536.583387	0.028979	9.3
31	-1.654877	534.140663	0.016748	9.1
32	-1.397643	531.727370	0.020257	8.7
33	-1.556114	529.342935	0.023601	9.0
34	-0.701932	526.986802	0.014282	8.5
35	-0.395795	524.658430	0.008536	9.4
36	-0.716646	522.357290	0.032606	8.3
37	-0.832095	520.082868	0.033170	12.3
38	-0.239022	517.834665	0.003086	10.0
39	-0.000000	515.612193	0.000000	9.6
40	-0.858354	513.414976	0.011377	9.3
41	-0.574870	511.242551	0.004124	9.5
42	-1.291472	509.094468	0.025140	9.0
43	-0.832566	506.970285	0.023534	8.9
44	-1.060323	504.869574	0.012682	8.8
45	-0.452174	502.791916	0.006101	10.0
46	-0.000000	500.736903	0.000000	8.5
47	-1.064932	498.704137	0.016943	8.2
48	-0.007500	496.693228	0.001228	10.0
