1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.605339	0.000000	23.249117	0.019243	1590.5
1	-0.604151	0.000000	23.249117	0.018395	6.5
2	-0.591492	0.000000	23.249117	0.012446	6.4
3	-0.618401	0.000000	23.249117	0.019917	9.2
4	-0.578118	0.000000	23.249117	0.014481	10.7
5	-0.619568	0.000000	23.249117	0.011678	4.7
6	-0.638778	0.000000	23.249117	0.015283	4.4
7	-0.581565	0.000000	23.249117	0.012912	6.0
8	-0.582647	0.000000	23.249117	0.010747	4.3
9	-0.665197	0.000000	23.249117	0.010289	3.9
10	-0.641657	0.000000	23.249117	0.007797	4.4
11	-0.620368	0.000000	23.249117	0.008413	6.2
12	-0.622179	0.000000	23.249117	0.010469	4.4
13	-0.600496	0.000000	23.249117	0.010454	4.1
14	-0.606805	0.000000	23.249117	0.008483	4.1
15	-0.640723	0.000000	23.249117	0.012382	4.9
16	-0.669233	0.000000	23.249117	0.010149	5.2
17	-0.644568	0.000000	23.249117	0.008629	4.6
18	-0.654432	0.000000	23.249117	0.013731	3.7
19	-0.647649	0.000000	23.249117	0.012250	6.7
20	-0.641003	0.000000	23.249117	0.009891	6.6
21	-0.666192	1.000000	22.192339	0.006779	5.7
22	-0.641632	0.929880	22.263299	0.010460	6.5
23	-0.646127	0.856684	22.337857	0.007711	5.3
24	-0.599520	1.856684	21.360556	0.007793	5.8
25	-0.633799	2.057800	21.174244	0.011647	6.2
26	-0.661839	1.984603	21.241675	0.011646	6.2
27	-0.684153	2.220387	21.025983	0.010354	6.0
28	-0.672538	3.219741	20.158410	0.007729	6.0
29	-0.624677	4.219741	19.359099	0.008112	7.8
30	-0.623908	5.219741	18.620758	0.009660	4.8
31	-0.644435	5.146545	18.672886	0.006814	5.9
32	-0.655021	6.146545	17.985031	0.010596	6.3
33	-0.650533	6.224382	17.933611	0.011029	7.5
34	-0.666566	6.151185	17.981958	0.007257	5.8
35	-0.646696	6.077989	18.030566	0.007565	7.4
36	-0.632287	6.004793	18.079438	0.008065	7.0
37	-0.634610	5.931596	18.128575	0.006409	8.2
38	-0.624077	5.858400	18.177980	0.007558	10.1
39	-0.658321	5.819820	18.204129	0.007837	4.6
40	-0.636203	5.746624	18.253948	0.007121	4.9
41	-0.605187	6.746605	17.596079	0.005742	5.4
42	-0.601784	7.741662	16.986890	0.004311	5.8
43	-0.617164	7.669083	17.029895	0.006411	6.3
44	-0.669668	7.595887	17.073486	0.005410	5.6
45	-0.669544	7.522690	17.117301	0.011410	5.5
46	-0.665247	7.593029	17.075192	0.008604	6.4
47	-0.648058	7.519833	17.119016	0.007062	5.4
48	-0.670657	7.446637	17.163065	0.003619	6.4
49	-0.599317	7.393957	17.194907	0.010648	5.1
50	-0.688267	7.321539	17.238875	0.011753	3.3
51	-0.640536	7.248342	17.283544	0.004919	4.1
52	-0.626736	8.248259	16.692668	0.007501	3.8
53	-0.678928	8.175063	16.734547	0.008238	4.9
54	-0.683391	8.101866	16.776638	0.009372	8.6
55	-0.660771	9.101866	16.219309	0.006501	6.9
56	-0.650497	9.028670	16.258844	0.005970	7.3
57	-0.603693	10.028670	15.734850	0.005993	5.8
58	-0.654468	9.955474	15.772056	0.007719	6.5
59	-0.636224	9.882278	15.809438	0.008055	5.9
60	-0.630082	10.882278	15.313569	0.011356	5.2
61	-0.683646	10.809082	15.348807	0.007283	5.3
62	-0.686554	11.809082	14.880985	0.007220	5.9
63	-0.650452	11.735886	14.914259	0.007012	6.4
64	-0.652863	11.662691	14.947680	0.008888	4.9
65	-0.682244	11.589495	14.981253	0.006275	6.7
66	-0.624747	11.516299	15.014977	0.007737	6.3
67	-0.625647	11.443102	15.048853	0.004432	5.1
68	-0.650190	11.371640	15.082074	0.004021	4.2
69	-0.679168	11.710978	14.925615	0.005943	6.0
70	-0.633969	11.637849	14.959058	0.007584	6.2
71	-0.593550	11.564653	14.992682	0.003030	6.7
72	-0.642485	12.564648	14.546003	0.009181	5.0
73	-0.628007	12.491452	14.577793	0.007750	5.4
74	-0.656771	12.418255	14.609723	0.005622	6.5
75	-0.679061	12.345059	14.641793	0.006263	6.4
76	-0.624339	12.271863	14.674005	0.004888	5.8
77	-0.663485	12.198672	14.706355	0.009155	5.5
78	-0.627933	13.198654	14.276336	0.006593	5.8
79	-0.651246	14.198654	13.870742	0.006001	5.8
80	-0.596876	15.198635	13.487566	0.007311	5.7
81	-0.659805	16.198635	13.124983	0.006579	6.4
82	-0.670391	16.259559	13.103522	0.005609	5.7
83	-0.653720	17.259553	12.761034	0.009751	7.0
84	-0.679291	17.802042	12.582623	0.005841	5.1
85	-0.644121	17.728845	12.606404	0.007500	5.0
86	-0.643167	18.700703	12.297804	0.006729	6.1
87	-0.624413	18.627522	12.320515	0.005212	6.6
88	-0.688900	18.554328	12.343313	0.004649	5.9
89	-0.636392	19.548353	12.040722	0.007276	5.9
90	-0.683921	19.475275	12.062462	0.004461	5.7
91	-0.661836	19.406039	12.083131	0.010542	5.7
92	-0.659086	20.406024	11.791315	0.009251	6.6
93	-0.646087	20.332827	11.812196	0.006485	5.8
94	-0.629217	20.259631	11.833152	0.008010	6.2
95	-0.657699	21.259631	11.553141	0.004550	5.9
96	-0.647868	21.210238	11.566660	0.010132	5.8
97	-0.644719	21.137041	11.586752	0.008333	5.9
98	-0.688043	21.063845	11.606915	0.007063	5.7
99	-0.662984	20.990679	11.627139	0.009765	6.9
100	-0.630299	21.990679	11.356682	0.008470	7.4
101	-0.607385	22.985772	11.099759	0.006708	5.6
102	-0.656450	23.985772	10.853020	0.004240	6.0
103	-0.663988	23.912585	10.870705	0.005036	5.3
104	-0.623291	24.912556	10.633942	0.006647	6.4
105	-0.665641	24.863575	10.645299	0.006654	5.3
106	-0.632395	25.863575	10.418144	0.005627	6.5
107	-0.649784	26.863574	10.200481	0.007869	6.7
108	-0.631229	27.860944	9.992264	0.006880	7.7
109	-0.612496	28.848916	9.794224	0.005043	7.6
110	-0.632684	29.848906	9.601612	0.005322	7.0
111	-0.683391	30.848899	9.416429	0.006716	6.1
112	-0.655041	31.717879	9.261212	0.011125	5.7
113	-0.681569	32.717879	9.088808	0.009168	9.0
114	-0.639216	33.717879	8.922704	0.007897	8.4
115	-0.649780	34.372838	8.817165	0.007539	8.6
116	-0.652556	35.372838	8.660757	0.007550	9.4
117	-0.662542	35.299642	8.672017	0.008809	7.6
118	-0.610365	36.299642	8.520672	0.006995	7.6
119	-0.694546	36.336482	8.515197	0.011608	8.0
120	-0.652049	36.263286	8.526082	0.005219	7.7
121	-0.670177	36.217750	8.532867	0.005677	7.6
122	-0.623647	36.190705	8.536902	0.009453	5.9
123	-0.673149	37.190705	8.390197	0.008339	7.8
124	-0.662563	38.190705	8.248448	0.007892	7.9
125	-0.675266	38.117509	8.258661	0.015148	8.7
126	-0.650854	39.117509	8.121286	0.006726	8.7
127	-0.639161	39.484830	8.071966	0.006685	8.3
128	-0.644495	39.411634	8.081746	0.005190	9.5
129	-0.614791	39.338437	8.091550	0.004727	6.8
130	-0.612423	39.532113	8.065660	0.007991	8.1
131	-0.669780	40.532112	7.934580	0.006932	8.7
132	-0.665389	40.458916	7.944030	0.004856	7.8
133	-0.641323	40.403001	7.951264	0.005976	9.9
134	-0.680677	40.953071	7.880666	0.008165	7.6
135	-0.654756	41.953056	7.755485	0.007082	8.2
136	-0.655366	41.879860	7.764513	0.011641	9.7
137	-0.668577	41.806663	7.773562	0.005604	7.7
138	-0.657544	42.806663	7.651732	0.007193	8.0
139	-0.665948	42.755790	7.657837	0.004389	6.2
140	-0.681802	43.755754	7.539584	0.010851	8.5
141	-0.653855	44.755754	7.424924	0.005000	7.1
142	-0.636670	45.578010	7.333224	0.004540	8.5
143	-0.659522	45.507245	7.341027	0.004856	8.9
144	-0.610916	46.029079	7.283875	0.005364	8.3
145	-0.695494	45.956410	7.291781	0.006851	8.4
146	-0.640460	45.883214	7.299761	0.005112	6.5
147	-0.664046	45.810017	7.307758	0.006940	8.8
148	-0.669052	46.810017	7.199990	0.006872	8.2
149	-0.614775	46.921986	7.188121	0.004104	8.0
150	-0.671232	46.850669	7.195677	0.009172	10.3
151	-0.664620	46.777472	7.203448	0.009378	8.0
152	-0.675386	47.777472	7.098712	0.005806	8.5
153	-0.661079	48.777469	6.996979	0.008430	8.5
154	-0.655223	49.777469	6.898120	0.007163	8.5
155	-0.645080	50.777469	6.802016	0.005170	8.4
156	-0.623324	50.936129	6.787013	0.004233	6.5
157	-0.674961	51.458408	6.738093	0.007096	7.9
158	-0.646148	52.055276	6.683042	0.006554	8.2
159	-0.657644	53.017722	6.596143	0.010233	5.4
160	-0.613697	54.017722	6.508215	0.002887	5.7
161	-0.684955	54.975175	6.426197	0.008003	6.6
162	-0.717980	55.918348	6.347399	0.011250	6.5
163	-0.664924	56.918348	6.265937	0.008188	6.6
164	-0.607690	57.918348	6.186539	0.007584	5.6
165	-0.638196	58.908840	6.109855	0.007435	6.8
166	-0.691102	58.835646	6.115457	0.004827	5.6
167	-0.685063	59.621570	6.055842	0.007587	5.5
168	-0.663486	59.548373	6.061345	0.009646	5.7
169	-0.660208	60.548373	5.987017	0.005591	5.8
170	-0.660222	61.548373	5.914489	0.007005	6.5
171	-0.681802	62.546197	5.843850	0.006911	5.8
172	-0.649665	63.546197	5.774730	0.005749	6.0
173	-0.639287	64.532050	5.708170	0.005728	4.5
174	-0.626426	65.478653	5.645688	0.004937	5.2
175	-0.642037	66.478652	5.581150	0.003740	6.1
176	-0.722899	66.407672	5.585682	0.007419	6.2
177	-0.657383	66.334476	5.590363	0.006380	5.8
178	-0.622468	66.261282	5.595053	0.005901	5.8
179	-0.600595	66.188086	5.599750	0.007872	5.2
180	-0.637379	66.114890	5.604455	0.005710	7.2
181	-0.669673	67.114890	5.540851	0.010401	5.6
182	-0.637546	67.041693	5.545457	0.009632	6.3
183	-0.622631	67.999884	5.485754	0.010100	5.4
184	-0.626904	68.999884	5.424801	0.009181	6.0
185	-0.648967	68.926688	5.429217	0.005806	5.0
186	-0.674056	68.863045	5.433062	0.006039	5.9
187	-0.659765	68.954934	5.427512	0.006497	5.8
188	-0.651859	69.000730	5.424750	0.007897	5.8
189	-0.640416	69.304389	5.406509	0.009328	6.1
190	-0.671621	70.304389	5.347295	0.007094	3.2
191	-0.618373	70.231192	5.351585	0.004910	4.8
192	-0.606202	70.157996	5.355882	0.004971	3.2
193	-0.629990	71.157761	5.297779	0.006834	3.4
194	-0.650125	71.084566	5.301990	0.009312	5.8
195	-0.650001	72.084566	5.245031	0.006877	5.7
196	-0.654310	73.084561	5.189284	0.006674	6.5
197	-0.674845	74.075264	5.135210	0.005297	5.7
198	-0.685043	75.075264	5.081760	0.004715	6.4
199	-0.650492	76.034119	5.031544	0.005401	6.2
200	-0.642696	75.960922	5.035343	0.007233	5.7
201	-0.648097	75.887738	5.039146	0.004810	6.0
202	-0.696743	75.814542	5.042956	0.006683	5.2
203	-0.635009	76.814190	4.991418	0.005555	7.1
204	-0.639565	76.740993	4.995156	0.006448	5.5
205	-0.635632	77.739595	4.944637	0.007947	6.4
206	-0.678610	78.739595	4.895062	0.006001	6.1
207	-0.630632	78.677994	4.898087	0.004054	6.9
208	-0.639313	78.617871	4.901043	0.005523	6.1
209	-0.654299	79.617453	4.852354	0.007595	5.7
210	-0.672836	80.617453	4.804602	0.008488	5.9
211	-0.647987	80.544257	4.808066	0.006576	5.6
212	-0.665867	81.544257	4.761178	0.007139	6.4
213	-0.665655	81.471060	4.764579	0.005077	6.0
214	-0.659439	82.471060	4.718532	0.008358	5.7
215	-0.612518	83.471058	4.673366	0.004735	6.3
216	-0.647450	84.471054	4.629056	0.006570	5.7
217	-0.646045	85.471054	4.585579	0.005909	5.9
218	-0.687391	85.397864	4.588734	0.003419	5.4
219	-0.694367	85.454035	4.586312	0.003909	6.0
220	-0.638926	85.380928	4.589464	0.005758	5.3
221	-0.648215	85.307791	4.592622	0.005778	6.2
222	-0.665424	86.130906	4.557335	0.007727	5.7
223	-0.644383	86.057709	4.560451	0.012248	6.3
224	-0.634737	85.984513	4.563571	0.008759	5.6
225	-0.668541	86.984513	4.521310	0.005236	7.4
226	-0.651577	86.925623	4.523777	0.009785	7.6
227	-0.658770	86.945007	4.522965	0.007467	6.0
228	-0.638200	87.945007	4.481449	0.003711	6.7
229	-0.650523	87.871810	4.484462	0.010478	5.7
230	-0.653610	87.798770	4.487472	0.007504	6.5
231	-0.662189	88.798298	4.446621	0.011279	5.7
232	-0.665786	88.725102	4.449588	0.009448	6.6
233	-0.649509	88.651906	4.452558	0.006114	6.5
234	-0.661757	88.578709	4.455532	0.008189	5.7
235	-0.672376	88.505513	4.458510	0.007486	5.5
236	-0.690945	89.505513	4.418164	0.008713	5.5
237	-0.676947	89.432317	4.421092	0.009358	6.9
238	-0.646036	89.379952	4.423190	0.008587	5.7
239	-0.650605	89.306755	4.426125	0.006788	6.0
240	-0.659673	90.306755	4.386360	0.005670	6.5
241	-0.693964	90.233559	4.389246	0.009783	5.9
242	-0.681428	91.233556	4.350138	0.008209	5.1
243	-0.649198	92.233556	4.311721	0.007193	5.7
244	-0.671415	93.233097	4.273993	0.004102	7.4
245	-0.665838	94.233097	4.236903	0.009115	5.8
246	-0.672645	95.232778	4.200463	0.008017	6.1
247	-0.661054	96.232778	4.164633	0.007036	6.7
248	-0.616405	97.232778	4.129409	0.007752	6.0
249	-0.688965	98.232752	4.094776	0.008637	6.8
250	-0.667821	99.232751	4.060719	0.006724	5.3
251	-0.680297	99.171350	4.062794	0.006713	5.5
252	-0.655392	100.171350	4.029265	0.003577	5.7
253	-0.614187	101.144284	3.997170	0.010575	6.9
254	-0.631884	101.071089	3.999567	0.011212	5.7
255	-0.642006	102.071089	3.967069	0.005570	6.2
256	-0.642210	101.997893	3.969430	0.005780	5.4
257	-0.652777	101.924697	3.971793	0.006479	5.4
258	-0.677366	101.851550	3.974158	0.003867	6.7
259	-0.632622	101.778357	3.976527	0.003018	5.5
260	-0.616315	101.708187	3.978801	0.006138	6.6
261	-0.656458	101.660701	3.980341	0.007925	6.7
262	-0.714842	101.587505	3.982718	0.006498	5.9
263	-0.609265	101.514313	3.985097	0.004927	3.2
264	-0.694372	102.514313	3.952833	0.010940	5.6
265	-0.646610	103.514313	3.921087	0.005921	3.7
266	-0.621697	103.441116	3.923393	0.003664	5.8
267	-0.677651	103.367973	3.925701	0.004135	3.9
268	-0.618345	103.669347	3.916211	0.007177	4.1
269	-0.666837	103.698678	3.915290	0.008329	4.2
270	-0.658266	103.628437	3.917497	0.006796	4.3
271	-0.671230	104.628437	3.886313	0.005719	5.4
272	-0.636124	105.495887	3.859663	0.008538	5.3
273	-0.635778	105.593962	3.856673	0.009533	3.8
274	-0.676625	105.520766	3.858904	0.005186	4.5
275	-0.648157	105.447569	3.861138	0.010657	5.0
276	-0.641781	105.374373	3.863374	0.006516	4.1
277	-0.621793	106.374373	3.833043	0.005606	5.1
278	-0.599583	106.301179	3.835247	0.004569	4.4
279	-0.635999	106.227982	3.837453	0.006125	3.6
280	-0.654799	107.227981	3.807527	0.005454	3.8
281	-0.630509	108.227981	3.778063	0.010714	3.4
282	-0.698038	108.791586	3.761657	0.010235	4.3
283	-0.678231	108.830521	3.760529	0.006651	4.9
284	-0.665262	108.769977	3.762284	0.008121	4.0
285	-0.647639	109.769977	3.733513	0.008326	3.6
286	-0.634174	110.769977	3.705180	0.007099	4.3
287	-0.676603	110.696781	3.707239	0.007273	3.9
288	-0.655564	110.623585	3.709301	0.004885	3.7
289	-0.650479	110.550388	3.711365	0.006459	4.6
290	-0.624092	110.481145	3.713319	0.009290	3.6
291	-0.672021	111.481141	3.685290	0.005405	5.0
292	-0.650454	112.481141	3.657681	0.005327	4.2
293	-0.669846	112.407945	3.659688	0.008407	3.7
294	-0.638644	112.335364	3.661680	0.005347	4.3
295	-0.616214	113.335364	3.634422	0.003927	4.1
296	-0.641893	113.262177	3.636404	0.006871	3.7
297	-0.639595	114.262170	3.609520	0.007115	4.2
298	-0.647249	114.188974	3.611474	0.005747	4.0
299	-0.656303	114.115777	3.613430	0.006517	5.1
300	-0.683448	115.115777	3.586884	0.010801	4.6
301	-0.687618	115.042581	3.588814	0.006607	4.1
302	-0.673999	114.969384	3.590746	0.008262	5.2
303	-0.685230	114.896188	3.592680	0.007784	4.3
304	-0.635597	115.896188	3.566436	0.007368	4.2
305	-0.665285	115.822992	3.568344	0.007423	5.5
306	-0.643083	116.822992	3.542453	0.005819	3.3
307	-0.663095	116.750644	3.544313	0.005594	4.7
308	-0.631139	116.677448	3.546198	0.006508	3.6
309	-0.624143	117.677448	3.520626	0.007010	5.0
310	-0.619055	117.635832	3.521683	0.009211	3.8
311	-0.649099	118.635832	3.496463	0.005769	3.2
312	-0.629281	118.562636	3.498296	0.006983	3.9
313	-0.628678	119.562391	3.473415	0.004252	4.2
314	-0.650294	119.508345	3.474751	0.009557	5.1
315	-0.674044	120.505011	3.450277	0.008879	4.2
316	-0.659292	120.431815	3.452062	0.008129	4.1
317	-0.651387	121.431815	3.427826	0.005344	5.5
318	-0.631060	121.358619	3.429588	0.007198	3.3
319	-0.631088	122.358619	3.405665	0.004501	4.7
320	-0.664058	123.358619	3.382074	0.007685	4.9
321	-0.659607	123.302561	3.383387	0.007545	4.1
322	-0.620602	124.302561	3.360102	0.005659	4.1
323	-0.655876	124.229365	3.361796	0.008552	4.7
324	-0.639017	124.156830	3.363476	0.004366	3.7
325	-0.657570	124.706779	3.350781	0.007822	4.4
326	-0.707045	124.633599	3.352464	0.004951	3.2
327	-0.677352	124.560403	3.354150	0.005834	4.7
328	-0.662446	124.487206	3.355838	0.004408	3.8
329	-0.648001	125.487206	3.332929	0.007404	4.8
330	-0.684794	126.468632	3.310748	0.006661	4.0
331	-0.658179	126.395439	3.312392	0.007068	4.0
332	-0.692014	126.322243	3.314038	0.011664	4.5
333	-0.613751	126.249046	3.315685	0.007560	5.1
334	-0.671748	126.175850	3.317334	0.006972	3.4
335	-0.688523	127.175850	3.294946	0.010317	3.5
336	-0.666166	127.275683	3.292728	0.004909	4.7
337	-0.597802	127.202487	3.294354	0.007838	3.7
338	-0.630930	128.202487	3.272274	0.005898	5.7
339	-0.689881	128.129290	3.273880	0.008111	4.2
340	-0.646279	129.129290	3.252073	0.009904	4.0
341	-0.676789	129.082778	3.253081	0.007139	4.5
342	-0.695501	130.082778	3.231549	0.009484	4.7
343	-0.671941	131.069445	3.210582	0.006657	4.4
344	-0.633362	130.996249	3.212128	0.008846	4.6
345	-0.636606	131.996249	3.191134	0.008033	4.6
346	-0.677904	131.923053	3.192661	0.008485	3.1
347	-0.671750	132.923053	3.171919	0.006344	5.3
348	-0.694299	133.923053	3.151445	0.005710	5.3
349	-0.665132	133.849856	3.152935	0.005771	4.0
350	-0.683704	134.731823	3.135078	0.007565	4.6
351	-0.695809	134.658627	3.136553	0.007079	5.0
352	-0.631098	134.691903	3.135882	0.007354	3.4
353	-0.683824	135.691889	3.115869	0.009582	4.7
354	-0.644480	136.691889	3.096110	0.006275	3.6
355	-0.653146	136.618693	3.097548	0.008154	3.6
356	-0.659622	136.545497	3.098987	0.008031	3.8
357	-0.600621	136.472300	3.100428	0.007982	4.3
358	-0.656623	136.399104	3.101869	0.005086	3.7
359	-0.630523	137.399104	3.082287	0.005569	3.8
360	-0.652049	137.325941	3.083711	0.007544	4.5
361	-0.646351	138.325609	3.064363	0.007037	4.1
362	-0.662409	139.325606	3.045249	0.006744	3.6
363	-0.667264	139.252409	3.046640	0.010246	4.1
364	-0.605860	139.179213	3.048033	0.008212	6.3
365	-0.661500	139.106033	3.049426	0.006715	4.1
366	-0.649876	140.106033	3.030498	0.003530	4.4
367	-0.683157	140.032837	3.031875	0.006680	4.7
368	-0.662684	141.031802	3.013183	0.006964	4.2
369	-0.641164	140.958605	3.014545	0.006733	3.8
370	-0.674715	141.958605	2.996046	0.006510	4.5
371	-0.608796	142.958371	2.977777	0.007119	3.4
372	-0.640988	143.725106	2.963917	0.005446	4.9
373	-0.639699	143.651910	2.965234	0.007701	4.2
374	-0.628999	144.650081	2.947366	0.005484	4.5
375	-0.671282	144.576885	2.948669	0.007825	5.1
376	-0.657157	144.503688	2.949973	0.005102	5.3
377	-0.641745	144.430492	2.951279	0.004239	3.7
378	-0.698658	144.357349	2.952584	0.006374	4.0
379	-0.639213	144.312951	2.953377	0.007165	5.9
380	-0.676614	144.272978	2.954091	0.006324	3.9
381	-0.620718	144.199782	2.955400	0.005764	4.1
382	-0.641298	144.445759	2.951006	0.004607	3.6
383	-0.649594	145.161817	2.938289	0.004793	2.9
384	-0.655527	146.136716	2.921150	0.005391	5.3
385	-0.670357	146.063520	2.922430	0.007609	3.9
386	-0.652032	145.995192	2.923626	0.005870	4.0
387	-0.688968	145.921996	2.924908	0.007319	3.3
388	-0.620647	145.848799	2.926191	0.006299	4.3
389	-0.622724	145.775650	2.927475	0.006915	5.7
390	-0.618091	145.724553	2.928372	0.006375	4.0
391	-0.701682	146.645908	2.912278	0.004422	4.8
392	-0.651638	146.572711	2.913550	0.005430	5.0
393	-0.639486	146.499515	2.914823	0.005796	4.0
394	-0.678834	146.426324	2.916097	0.005944	4.5
395	-0.653571	146.353136	2.917373	0.007461	4.3
396	-0.665931	146.279956	2.918649	0.006937	5.3
397	-0.641266	147.279951	2.901305	0.007875	6.2
398	-0.637844	147.206754	2.902568	0.005552	3.7
399	-0.663602	148.206754	2.885414	0.005740	4.9
400	-0.665695	149.206754	2.868461	0.005315	3.2
401	-0.684458	150.204792	2.851739	0.005657	5.2
402	-0.671891	150.131697	2.852958	0.007438	3.1
403	-0.714586	150.058501	2.854178	0.006279	3.8
404	-0.685658	149.985540	2.855396	0.005653	5.1
405	-0.672917	149.912344	2.856619	0.008797	4.1
406	-0.661356	149.839147	2.857843	0.007121	5.9
407	-0.666540	150.839130	2.841212	0.005305	4.6
408	-0.654592	150.765934	2.842423	0.005665	2.9
409	-0.654158	151.765934	2.825971	0.007101	5.0
410	-0.651903	151.692748	2.827168	0.005961	3.9
411	-0.639419	151.619551	2.828367	0.004819	4.2
412	-0.676034	152.619551	2.812077	0.006125	4.8
413	-0.635435	152.546355	2.813263	0.007412	5.3
414	-0.675794	152.473188	2.814449	0.005171	5.6
415	-0.699019	153.473188	2.798318	0.004482	5.2
416	-0.671946	153.400050	2.799492	0.004090	3.2
417	-0.664046	153.718718	2.794386	0.005469	4.8
418	-0.649686	153.751129	2.793867	0.007099	3.5
